Zone,Facilité de faire des affaires 2020,Population (2017),Evo 2015_2017 %,Dispo intérieure poulet,Exportations poulet,Importations poulet,Production poulet,Consommation poulet,PIB (US$),Taux_import_poulet %,Taux_export_poulet %,Taux_conso_poulet %,Taux_dispo_intér_poulet %,Index de stabilité,Taux des droits de douane
Afghanistan,44.1,36296113.0,5.5,57.0,0.0,29.0,28.0,55.0,520.616409,0.64,0.0,0.42,0.38,-2.8,5.63
Afrique du Sud,67.0,57009756.0,2.9,2118.0,63.0,514.0,1667.0,2035.0,6121.876572,5.7,0.57,6.41,3.17,-0.28,4.4
Albanie,67.7,2884169.0,-0.2,47.0,0.0,38.0,13.0,47.0,4514.204908,4.3,0.0,1.29,0.96,0.38,1.1
Algérie,48.6,41389189.0,4.2,277.0,0.0,2.0,275.0,264.0,4109.696001,0.01,0.0,0.8,0.61,-0.92,10.16
Allemagne,79.7,82658409.0,1.1,1739.0,646.0,842.0,1514.0,1609.0,44651.829102,1.27,1.1,2.06,0.99,0.59,1.48
Angola,41.3,29816766.0,6.9,319.0,0.0,277.0,42.0,315.0,4095.811686,6.67,0.0,1.85,0.99,-0.33,9.23
Antigua-et-Barbuda,60.3,95426.0,2.0,7.0,0.0,7.0,0.0,5.0,15383.415188,9.86,0.0,8.47,8.33,0.75,13.07
Arabie saoudite,71.6,33101178.0,4.4,1435.0,10.0,722.0,616.0,1435.0,20802.464299,2.73,0.45,7.93,4.43,-0.58,4.23
Argentine,59.0,43937140.0,2.0,1962.0,207.0,8.0,2161.0,1856.0,14648.845969,0.24,0.33,5.44,1.42,0.17,6.88
Arménie,74.5,2944791.0,0.7,47.0,0.0,35.0,11.0,47.0,3914.525246,4.14,0.0,1.59,1.07,-0.62,3.11
Australie,81.2,24584620.0,2.7,1171.0,42.0,16.0,1269.0,1171.0,57628.863849,0.25,0.08,5.25,1.5,0.89,0.71
Autriche,78.7,8819901.0,1.6,173.0,78.0,110.0,148.0,160.0,47309.051637,1.16,1.0,1.95,0.9,1.05,1.48
Azerbaïdjan,76.7,9845320.0,2.3,129.0,0.0,27.0,104.0,129.0,4150.868844,1.01,0.0,1.65,1.03,-0.75,5.93
Bahamas,59.9,381755.0,2.0,26.0,0.0,24.0,6.0,16.0,32376.12978,12.83,0.0,7.44,7.6,0.99,17.05
Bangladesh,45.0,159685424.0,2.2,250.0,0.0,0.0,249.0,240.0,1538.233627,0.0,0.0,0.31,0.24,-1.26,10.99
Barbade,57.9,286232.0,0.3,17.0,0.0,2.0,15.0,13.0,17419.313704,0.84,0.0,7.6,4.18,0.97,11.82
Bélarus,74.3,9450231.0,0.1,265.0,152.0,21.0,463.0,264.0,5790.908054,0.54,2.03,2.87,0.91,-0.05,1.76
Belgique,75.0,11419748.0,1.2,152.0,656.0,338.0,463.0,144.0,44025.903247,0.87,2.02,1.24,0.47,0.43,1.48
Belize,55.5,375769.0,4.1,19.0,0.0,0.0,20.0,10.0,4909.683057,0.0,0.0,4.59,0.99,0.04,18.69
Bénin,52.4,11175198.0,5.7,161.0,0.0,123.0,18.0,161.0,1136.59336,3.3,0.0,2.01,0.98,0.03,9.86
Bolivie (État plurinational de),51.7,11192855.0,3.0,429.0,1.0,1.0,533.0,403.0,3351.127399,0.09,0.13,6.47,1.51,-0.28,5.18
Bosnie-Herzégovine,65.4,3351525.0,-2.3,55.0,8.0,10.0,61.0,56.0,5394.741461,0.44,1.18,1.69,1.02,-0.35,2.86
Botswana,66.2,2205080.0,4.0,7.0,0.0,3.0,5.0,7.0,7893.36292,0.32,0.0,0.6,0.49,1.02,0.8
Brésil,59.1,207833823.0,1.6,9982.0,4223.0,3.0,14201.0,9982.0,9928.675992,0.02,2.74,6.23,0.92,-0.42,8.41
Bulgarie,72.0,7102444.0,-1.4,157.0,45.0,108.0,107.0,157.0,8335.277986,3.4,0.53,3.04,1.51,0.33,1.48
Burkina Faso,51.4,19193234.0,6.0,46.0,0.0,0.0,46.0,44.0,734.996282,0.0,0.0,0.46,0.39,-0.93,7.15
Cambodge,53.8,16009409.0,3.1,38.0,0.0,10.0,28.0,37.0,1385.260419,0.67,0.0,0.46,0.16,0.09,6.21
Cameroun,46.1,24566073.0,5.4,82.0,0.0,0.0,81.0,78.0,1425.106072,0.0,0.0,0.46,0.25,-1.1,15.46
Canada,79.6,36732095.0,2.0,1433.0,163.0,182.0,1417.0,1433.0,44906.74892,0.93,0.25,4.22,1.73,1.1,1.49
Cabo Verde,55.0,537498.0,2.4,10.0,0.0,12.0,1.0,9.0,3292.638357,4.58,0.0,3.23,2.53,0.77,12.18
Chili,72.6,18470439.0,2.8,672.0,115.0,155.0,712.0,672.0,14998.813979,2.2,1.32,5.38,2.84,0.42,0.43
"Chine, continentale",78.2,1421021791.0,1.0,18161.0,576.0,452.0,18236.0,17518.0,8663.126784,0.22,1.43,1.27,0.79,0.0,2.47
Chypre,73.4,1179678.0,1.6,38.0,1.0,14.0,25.0,30.0,26755.5929,1.26,0.26,3.73,2.51,0.54,1.48
Colombie,70.1,48909839.0,2.9,1643.0,2.0,78.0,1564.0,1565.0,6376.707362,0.69,0.04,4.07,1.75,-0.77,2.4
Congo,39.5,5110695.0,5.2,110.0,0.0,104.0,7.0,110.0,2154.629048,13.83,0.0,3.52,2.58,-0.53,11.55
Costa Rica,69.2,4949954.0,2.1,134.0,3.0,17.0,133.0,131.0,12225.577172,0.64,0.04,3.82,1.28,0.61,1.51
Côte d'Ivoire,60.7,24437470.0,5.2,65.0,0.0,7.0,58.0,62.0,2111.026809,0.17,0.0,0.39,0.25,-1.09,7.63
Cuba,0.0,11339254.0,0.1,342.0,0.0,312.0,29.0,269.0,8541.21444,6.81,0.0,2.81,1.02,0.65,8.83
Croatie,73.6,4182857.0,-1.2,45.0,17.0,24.0,61.0,45.0,13439.243178,0.88,0.68,1.06,0.58,0.69,1.48
Danemark,85.3,5732274.0,0.8,167.0,139.0,133.0,173.0,166.0,57938.797728,1.85,1.1,3.01,0.83,0.87,1.48
Dominique,60.5,71458.0,0.4,4.0,0.0,4.0,0.0,3.0,7286.797839,15.38,0.0,4.35,2.68,1.2,7.84
Égypte,60.1,96442591.0,4.3,1250.0,1.0,110.0,1118.0,1250.0,2023.331158,0.43,0.02,1.73,1.04,-1.42,10.43
El Salvador,65.3,6388126.0,1.0,131.0,2.0,16.0,136.0,131.0,3910.253179,0.59,0.16,3.54,1.04,-0.26,1.91
Émirats arabes unis,80.9,9487203.0,2.4,412.0,94.0,433.0,48.0,412.0,40644.804043,2.89,1.91,6.92,3.49,0.62,3.28
Espagne,77.9,46647428.0,-0.1,1497.0,212.0,205.0,1515.0,1418.0,28137.441564,0.49,0.62,3.24,1.52,0.28,1.48
Estonie,80.6,1319390.0,0.3,29.0,11.0,21.0,20.0,28.0,20406.691807,2.23,0.59,2.06,1.44,0.65,1.48
Eswatini,59.5,1124805.0,1.9,7.0,0.0,2.0,6.0,7.0,3913.145927,0.45,0.0,1.17,0.1,-0.27,2.27
États-Unis d'Amérique,84.0,325084756.0,1.3,18266.0,3692.0,123.0,21914.0,18100.0,59921.674703,0.15,1.78,5.62,2.15,0.34,1.52
Éthiopie,48.0,106399924.0,5.5,14.0,0.0,1.0,14.0,14.0,721.753494,0.03,0.0,0.04,0.03,-1.68,12.13
Fidji,61.5,877459.0,1.0,26.0,0.0,3.0,23.0,25.0,6101.130428,0.78,0.0,3.93,1.08,0.64,16.62
Finlande,80.2,5511371.0,0.6,111.0,12.0,16.0,129.0,103.0,46385.550876,0.53,0.62,1.7,1.09,1.08,1.48
France,76.8,64842509.0,0.6,1573.0,501.0,506.0,1750.0,1485.0,38720.645922,1.46,0.84,2.43,0.93,0.28,1.48
Gabon,45.0,2064822.0,6.0,78.0,0.0,76.0,4.0,61.0,7230.472774,14.79,0.0,4.32,3.49,-0.1,14.5
Géorgie,83.7,4008716.0,-0.4,61.0,5.0,51.0,22.0,61.0,4051.842804,3.46,1.23,2.51,1.99,-0.37,0.21
Ghana,60.0,29121465.0,4.6,211.0,0.0,151.0,60.0,211.0,2074.175443,3.31,0.0,0.85,0.45,0.09,10.51
Grèce,68.4,10569450.0,-0.8,178.0,29.0,79.0,246.0,162.0,18907.740558,1.01,0.6,1.62,0.85,-0.07,1.48
Grenade,53.4,110874.0,1.2,8.0,0.0,7.0,1.0,5.0,10152.832812,14.89,0.0,9.26,9.2,1.01,10.79
Guatemala,62.6,16914970.0,4.1,357.0,7.0,129.0,235.0,348.0,4236.114906,3.99,0.09,4.48,0.8,-0.65,1.59
Guinée,49.4,12067519.0,5.6,50.0,0.0,37.0,13.0,49.0,855.575057,2.31,0.0,0.72,0.46,-0.7,12.23
Guinée-Bissau,43.2,1828145.0,5.2,4.0,0.0,4.0,3.0,4.0,738.550286,1.49,0.0,0.56,0.39,-0.5,11.65
Guyana,55.5,775222.0,1.0,32.0,0.0,0.0,31.0,30.0,6124.922066,0.0,0.0,4.31,1.06,-0.04,6.51
Haïti,40.7,10982366.0,2.7,98.0,0.0,89.0,9.0,98.0,1387.438826,5.08,0.0,2.0,1.27,-0.67,6.76
Honduras,56.3,9429013.0,3.5,205.0,1.0,12.0,193.0,205.0,2453.729573,0.64,0.04,4.61,1.55,-0.56,3.31
Hongrie,73.4,9729823.0,-0.5,266.0,210.0,58.0,493.0,246.0,14711.08422,1.43,1.45,3.3,1.5,0.81,1.48
Îles Salomon,55.3,636039.0,5.5,3.0,0.0,6.0,0.0,3.0,2332.873855,4.84,0.0,0.72,0.3,0.2,13.62
Inde,71.0,1338676785.0,2.2,3661.0,4.0,0.0,3545.0,2965.0,1960.39034,0.0,0.01,0.42,0.31,-0.76,6.19
Iran (République islamique d'),58.5,80673883.0,2.8,2220.0,45.0,6.0,2174.0,2220.0,6243.780412,0.03,0.63,3.67,2.12,-0.93,12.09
Iraq,44.7,37552781.0,5.6,566.0,0.0,470.0,96.0,561.0,4985.453728,4.26,0.0,3.95,3.2,-2.31,10.0
Irlande,79.6,4753279.0,2.2,128.0,93.0,99.0,110.0,123.0,70568.302444,1.3,0.99,2.64,1.13,1.0,1.48
Islande,79.0,334393.0,1.3,10.0,0.0,2.0,10.0,10.0,73949.769216,0.68,0.0,3.1,1.86,1.35,1.53
Italie,72.9,60673701.0,0.2,1173.0,183.0,97.0,1315.0,1146.0,32333.550863,0.23,0.68,2.01,1.25,0.31,1.48
Jamaïque,69.7,2920848.0,1.0,152.0,1.0,31.0,128.0,149.0,5070.097885,2.46,0.54,7.51,3.83,0.31,8.41
Japon,78.0,127502725.0,-0.4,2415.0,10.0,1069.0,2215.0,2359.0,38672.40774,2.13,0.59,3.2,2.21,1.11,2.22
Jordanie,69.0,9785843.0,5.6,275.0,10.0,64.0,210.0,275.0,4231.464852,1.41,1.12,5.73,3.86,-0.5,3.98
Kazakhstan,79.6,18080019.0,2.9,331.0,6.0,174.0,171.0,330.0,9225.974208,4.71,0.06,1.94,0.91,0.04,1.96
Kenya,73.2,50221142.0,4.9,35.0,0.0,0.0,35.0,34.0,1634.068744,0.0,0.0,0.15,0.11,-1.13,9.32
Kirghizistan,67.8,6189733.0,3.9,32.0,0.0,25.0,7.0,19.0,1244.470221,2.68,0.0,0.38,0.37,-0.43,2.33
Koweït,67.4,4056099.0,5.7,189.0,4.0,137.0,56.0,188.0,29754.636332,3.83,0.69,6.74,5.05,-0.05,3.01
Lesotho,59.4,2091534.0,1.6,17.0,0.0,15.0,2.0,17.0,1101.803397,3.15,0.0,2.11,1.92,-0.19,3.31
Lettonie,80.3,1951097.0,-2.3,41.0,20.0,43.0,33.0,41.0,15623.931572,1.71,0.45,2.24,1.3,0.46,1.48
Liban,54.3,6819373.0,4.4,73.0,4.0,13.0,64.0,73.0,7819.60467,0.4,0.59,1.74,1.25,-1.63,2.83
Libéria,43.2,4702226.0,5.1,50.0,0.0,48.0,15.0,50.0,587.594046,7.32,0.0,2.81,2.07,-0.36,6.6
Lituanie,81.6,2845414.0,-2.9,82.0,68.0,44.0,118.0,80.0,16784.459812,1.47,0.99,2.62,1.24,0.78,1.48
Luxembourg,69.6,591910.0,4.4,11.0,1.0,11.0,0.0,11.0,111017.182246,1.29,0.14,1.88,1.44,1.33,1.48
Macédoine du Nord,80.7,2081996.0,0.1,41.0,1.0,40.0,2.0,41.0,5430.875559,4.9,0.22,2.23,1.45,-0.25,1.74
Malaisie,81.5,31104646.0,2.8,1621.0,44.0,68.0,1724.0,1220.0,10259.210256,0.37,0.21,7.28,1.23,0.12,3.6
Malawi,60.9,17670196.0,5.5,98.0,0.0,0.0,130.0,91.0,506.137215,0.0,0.0,0.76,0.38,-0.25,6.18
Mali,52.9,18512430.0,6.2,52.0,0.0,1.0,48.0,52.0,830.0214,0.07,0.0,0.45,0.29,-1.91,9.24
Malte,66.1,437933.0,1.0,14.0,0.0,9.0,4.0,12.0,30850.17357,2.12,0.0,3.07,2.59,1.25,1.48
Maroc,73.4,35581255.0,2.6,746.0,1.0,3.0,762.0,746.0,3082.599304,0.03,0.03,2.99,1.9,-0.37,3.61
Maurice,81.5,1264499.0,0.4,49.0,0.0,2.0,48.0,48.0,10485.851087,0.21,0.0,6.99,1.07,0.97,0.92
Mauritanie,51.1,4282570.0,5.8,22.0,0.0,24.0,5.0,22.0,1587.863353,1.37,0.0,1.13,0.95,-0.63,12.19
Mexique,72.4,124777324.0,2.4,4219.0,9.0,972.0,3249.0,4058.0,9287.841557,2.18,0.04,4.37,2.12,-0.72,1.24
République de Moldova,74.4,4059684.0,-0.3,66.0,0.0,16.0,54.0,66.0,2381.895178,2.68,0.0,2.78,1.18,-0.32,1.26
Mongolie,67.8,3113786.0,3.8,9.0,0.0,10.0,0.0,9.0,3669.409235,2.36,0.0,0.53,0.43,0.79,5.3
Monténégro,73.8,627563.0,0.1,10.0,0.0,8.0,4.0,10.0,7738.844301,1.58,0.0,1.48,1.22,-0.06,2.59
Mozambique,55.0,28649018.0,5.9,116.0,0.0,24.0,92.0,103.0,461.414754,0.83,0.0,0.71,0.52,-0.93,4.14
Myanmar,46.8,53382523.0,1.3,1666.0,0.0,3.0,1662.0,1621.0,1277.743698,0.08,0.0,5.19,2.38,-1.08,1.81
Namibie,61.4,2402633.0,3.8,28.0,12.0,29.0,11.0,28.0,5363.907541,3.22,1.41,2.06,1.68,0.63,1.26
Népal,63.2,27632681.0,2.3,58.0,0.0,0.0,58.0,55.0,1065.514207,0.0,0.0,0.29,0.21,-0.69,11.6
Nicaragua,54.4,6384846.0,2.6,138.0,0.0,6.0,143.0,138.0,2159.158239,0.54,0.0,4.36,1.22,-0.05,1.84
Niger,56.8,21602382.0,8.0,21.0,0.0,3.0,19.0,20.0,517.771881,0.26,0.0,0.18,0.14,-1.27,8.06
Nigéria,56.9,190873244.0,5.4,202.0,0.0,0.0,201.0,192.0,1968.687237,0.0,0.0,0.16,0.1,-2.0,12.37
Norvège,82.6,5296326.0,1.9,102.0,0.0,2.0,101.0,101.0,75220.814442,0.04,0.0,2.04,1.04,1.17,2.8
Oman,70.0,4665928.0,9.3,114.0,16.0,126.0,7.0,101.0,15130.543438,3.63,1.59,3.05,2.71,0.75,1.71
Ouganda,60.0,41166588.0,7.7,66.0,0.0,0.0,65.0,62.0,767.101705,0.0,0.0,0.28,0.22,-0.57,8.09
Pakistan,61.0,207906209.0,4.3,1282.0,4.0,2.0,1281.0,1218.0,1455.991742,0.02,0.05,1.25,0.66,-2.41,8.67
Panama,66.6,4106769.0,3.5,192.0,0.0,20.0,198.0,139.0,15146.390071,1.25,0.0,5.19,3.04,0.39,5.77
Pays-Bas,76.1,17021347.0,0.5,372.0,1418.0,608.0,1100.0,346.0,48989.638816,1.01,2.41,2.15,0.74,0.92,1.48
Pérou,68.7,31444298.0,3.2,1523.0,1.0,60.0,1465.0,424.0,6710.531503,0.69,0.01,1.94,3.24,-0.26,0.66
Philippines,62.8,105172925.0,3.0,1521.0,2.0,249.0,1272.0,1459.0,3123.244296,1.62,0.02,2.42,1.27,-1.18,1.67
Pologne,76.4,37953180.0,-0.2,1156.0,1025.0,55.0,2351.0,1150.0,13872.466907,0.39,4.3,3.31,1.34,0.52,1.48
Portugal,76.5,10288527.0,-0.8,325.0,44.0,82.0,361.0,315.0,21515.021025,0.69,0.84,2.94,1.75,1.12,1.48
Chine - RAS de Hong-Kong,85.3,7306322.0,1.7,280.0,663.0,907.0,24.0,391.0,46705.027813,9.4,18.37,6.89,4.41,0.83,0.0
République centrafricaine,35.6,4596023.0,2.3,11.0,0.0,4.0,7.0,11.0,450.900697,8.7,0.0,0.5,0.41,-2.01,16.44
République dominicaine,60.0,10513104.0,2.3,375.0,6.0,42.0,339.0,371.0,7609.365034,1.28,0.58,4.48,2.19,0.16,3.9
Roumanie,73.3,19653969.0,-1.4,381.0,69.0,146.0,392.0,381.0,10771.150494,1.8,0.44,1.85,1.03,0.06,1.48
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,83.5,66727460.0,1.3,2234.0,359.0,779.0,1814.0,2131.0,40448.365256,2.05,2.45,3.53,2.36,0.33,1.28
Fédération de Russie,78.2,145530082.0,0.4,4556.0,115.0,226.0,4444.0,4509.0,10817.003315,0.94,0.2,3.49,1.52,-0.64,4.07
Rwanda,76.5,11980961.0,5.4,19.0,0.0,0.0,19.0,18.0,772.29317,0.0,0.0,0.21,0.21,0.09,10.19
Saint-Kitts-et-Nevis,54.6,52045.0,1.6,4.0,0.0,4.0,0.0,3.0,19155.431731,14.29,0.0,13.04,8.0,0.65,8.84
Saint-Vincent-et-les Grenadines,57.1,109827.0,0.6,8.0,0.0,9.0,0.0,8.0,7212.960181,10.98,0.0,11.94,3.88,0.89,8.97
Sainte-Lucie,63.7,180954.0,1.0,11.0,0.0,10.0,1.0,10.0,11034.684894,9.62,0.0,10.42,8.21,0.99,9.08
Samoa,62.1,195352.0,1.0,15.0,0.0,17.0,0.0,13.0,4223.478963,24.29,0.0,8.18,4.34,1.18,10.38
Sao Tomé-et-Principe,45.0,207089.0,3.8,2.0,0.0,2.0,1.0,2.0,1828.194018,4.65,0.0,1.63,1.13,0.19,9.97
Sénégal,59.3,15419355.0,5.8,77.0,0.0,0.0,77.0,73.0,1361.702214,0.0,0.0,1.08,0.79,-0.05,9.07
Sierra Leone,47.5,7488423.0,4.4,30.0,0.0,14.0,17.0,30.0,499.38124,1.62,0.0,0.76,0.33,-0.04,14.05
Slovaquie,75.6,5447900.0,0.2,74.0,35.0,63.0,71.0,76.0,17510.14429,1.59,0.74,2.03,1.0,0.91,1.48
Slovénie,76.5,2076393.0,0.3,52.0,29.0,20.0,72.0,51.0,23400.712988,0.83,1.67,2.68,1.92,0.87,1.48
Soudan,44.8,40813397.0,4.9,69.0,0.0,2.0,67.0,65.0,2990.994843,0.05,0.0,0.31,0.22,-1.98,0.0
Sri Lanka,61.8,21128032.0,1.1,192.0,2.0,0.0,192.0,164.0,4138.0152,0.0,0.23,1.52,1.36,-0.07,6.28
Suède,82.0,9904896.0,1.4,187.0,23.0,84.0,157.0,164.0,54621.345824,1.06,0.43,1.78,1.11,0.98,1.48
Suisse,76.6,8455804.0,1.9,133.0,4.0,51.0,91.0,133.0,83313.013992,1.02,0.2,1.69,1.03,1.26,1.36
Suriname,47.5,570496.0,2.0,25.0,5.0,18.0,10.0,18.0,5947.369351,9.52,2.72,5.52,3.82,0.13,8.72
Tadjikistan,61.3,8880268.0,5.0,40.0,0.0,38.0,2.0,39.0,848.668435,2.41,0.0,0.81,0.48,-0.67,3.93
République-Unie de Tanzanie,54.5,54660339.0,6.2,108.0,0.0,2.0,105.0,103.0,1001.160919,0.12,0.0,0.32,0.25,-0.56,8.94
Tchad,36.9,15016753.0,6.4,7.0,0.0,1.0,6.0,7.0,692.16163,0.46,0.0,0.14,0.1,-1.29,16.36
Thaïlande,80.1,69209810.0,0.7,881.0,796.0,2.0,1676.0,896.0,6593.81687,0.02,1.18,2.33,0.47,-0.75,3.52
Timor-Leste,39.4,1243258.0,3.9,5.0,0.0,11.0,1.0,5.0,1299.496723,5.98,0.0,1.04,0.93,0.07,2.53
Togo,62.3,7698474.0,5.1,54.0,0.0,16.0,40.0,54.0,829.700048,1.76,0.0,1.58,1.13,-0.88,10.98
Trinité-et-Tobago,61.3,1384059.0,1.0,76.0,0.0,23.0,61.0,75.0,16747.918804,3.14,0.0,10.65,8.51,0.28,8.63
Tunisie,68.7,11433443.0,2.3,195.0,4.0,0.0,213.0,195.0,3481.203612,0.0,0.34,1.97,1.29,-1.02,9.35
Turquie,76.8,81116450.0,3.3,1674.0,429.0,3.0,2192.0,1674.0,10589.573121,0.02,2.32,2.2,1.13,-1.79,2.85
Ukraine,70.2,44487709.0,-1.0,1009.0,273.0,121.0,1211.0,1006.0,2521.827514,4.55,0.47,2.64,1.0,-1.87,1.67
Uruguay,61.5,3436641.0,0.7,33.0,3.0,3.0,33.0,31.0,18690.915595,0.31,0.04,1.18,0.74,1.05,5.29
Vanuatu,61.1,285510.0,5.3,3.0,0.0,4.0,1.0,3.0,3082.368364,8.16,0.0,1.63,0.68,0.7,12.66
Venezuela (République bolivarienne du),30.2,29402484.0,-2.3,626.0,0.0,25.0,600.0,596.0,8432.288335,0.54,0.0,3.8,2.93,-1.25,14.06
Viet Nam,69.8,94600648.0,2.1,1206.0,1.0,291.0,918.0,1166.0,2365.521494,1.14,0.0,1.73,1.01,0.29,1.34
Yémen,31.8,27834819.0,5.0,246.0,0.0,78.0,168.0,237.0,745.087677,1.27,0.0,2.82,2.76,-2.94,5.03
Zambie,66.9,16853599.0,6.1,60.0,1.0,12.0,49.0,58.0,1534.874627,2.28,0.12,0.97,0.49,0.15,4.82
Zimbabwe,54.5,14236595.0,3.1,76.0,0.0,6.0,69.0,67.0,1548.186368,0.56,0.0,1.39,0.83,-0.71,4.99
République de Corée,5.0,51096415.0,0.5,854.0,6.0,137.0,838.0,854.0,31781.12332,0.47,0.18,2.09,1.4,0.32,5.48
Tchéquie,0.0,10641034.0,0.4,249.0,27.0,116.0,163.0,234.0,20545.836143,1.81,0.3,2.53,1.21,1.0,1.48
Chine - RAS de Macao,0.0,622585.0,3.4,19.0,0.0,23.0,3.0,21.0,81043.968656,4.7,0.0,4.68,4.27,1.43,0.0
